Date,rho_pb-g,rho_pb-delta_e,rho_g-delta_e
2020-09-30,0.11010429882767386,0.20487820553032715,-0.16556922045581493
2020-12-31,0.11008706338588928,0.20487933224048904,-0.1655711903391423
2021-03-31,0.11008942776497431,0.20487938231384914,-0.1655711204144452
2021-06-30,0.11008965616576637,0.2048791917255072,-0.16557109662824962
2021-09-30,0.11009115313589764,0.20487925069452306,-0.1655708857478675
2021-12-31,0.11008973521246115,0.20487932334226783,-0.1655711695667758
2022-03-31,0.11008883464110057,0.2048795261468232,-0.16557123214727007
2022-06-30,0.11008947003417882,0.20487940147331035,-0.16557111827871238
2022-09-30,0.11008902718221932,0.2048794647035514,-0.16557116739104016
2022-12-31,0.11008905592574715,0.20487947342925,-0.16557122296747792
2023-03-31,0.11008882630130418,0.2048793479726361,-0.16557111437431135
2023-06-30,0.11008923894342208,0.20487947710470586,-0.1655710972697677
2023-09-30,0.11008958439598054,0.20487944088069426,-0.16557100762884852
2023-12-31,0.11008922771756398,0.20487937087914682,-0.1655711342318278
2024-03-31,0.11008955891859268,0.20487931561936282,-0.16557109561548583
2024-06-30,0.11007948408200492,0.20487875200192457,-0.1655716206113022
2024-09-30,0.11008909175708885,0.20487912514216425,-0.16557094505128223
2024-12-31,0.11008931847688994,0.20487949399251945,-0.16557100885187032
2025-03-31,0.11008898480407742,0.20487948668170108,-0.16557119226801115
2025-06-30,0.1100886421126887,0.20487945472452082,-0.16557100588969323
2025-09-30,0.11008874129471738,0.20487940131324897,-0.1655708105011504
2025-12-31,0.11008910687406437,0.20487937876391854,-0.16557087021669217
