Date,VIX,EMBI,CER,TCRM,PIB_real,pb_pib,deuda_pib,g_gap,EMBI_BRASIL,pasivos_bcra_ars,pib_nominal_trim,pasivos_bcra_pib,pib_nominal_es_extrapolado,deuda_consolidada_pib
2014-06-30,12.738253971887014,783.65625,3.945863736263736,1.5886220806838998,156.7827344646443,-2.2,48.0,6.3036679525471495,29.16755489886753,183304.0,4702629.524921878,3.897904332641324,0,51.897904332641325
2014-09-30,13.07437500357628,710.3030303030303,4.131184782608695,1.518324261860987,142.41561696656734,-2.1,48.0,-3.489655965404366,27.889620542526245,232508.0,4685503.11867981,4.962284606599762,0,52.96228460659976
2014-12-31,16.063750088214874,728.6307692307693,4.299857608695652,1.3870568124100753,141.55431068833474,-2.4,49.0,-4.097921039294736,28.378623962402344,254405.0,5010564.196873761,5.077372327825493,0,54.07737232782549
2015-03-31,16.56475407959985,668.5238095238095,4.446702222222223,1.273852960406217,138.67836300315082,-2.6,51.0,-6.0458358014323546,28.49294697847523,297089.0,5092693.740328637,5.833631770302145,0,56.83363177030215
2015-06-30,13.740158762250628,597.6461538461539,4.596259340659341,1.2221448734407152,163.10269671209025,-2.8,52.0,10.53176661963726,27.326390718656867,323384.0,5951478.855366603,5.433674685887463,0,57.43367468588746
2015-09-30,19.30734378099441,585.2575757575758,4.749839130434782,1.1452149753593002,148.06406242217545,-3.0,53.0,0.3990351325174249,28.681330800056458,310240.0,6221730.755771596,4.9863938537071135,0,57.98639385370711
2015-12-31,17.033281311392784,506.9846153846154,4.924831521739131,1.1396293304240592,145.05452542456325,-3.2,54.0,-1.555628004564811,28.21665960550308,325058.0,6552140.231302532,4.961096504727588,0,58.961096504727585
2016-03-31,20.48622949006128,468.6984126984127,5.267854945054945,1.4518897388370136,139.68890189627257,-3.1,56.0,-5.08898371273279,28.08153425474636,450245.0,7006645.04510604,6.425971304404587,0,62.425971304404584
2016-06-30,15.67593750357628,501.4769230769231,5.811623076923077,1.3378750451837342,156.808792564844,-2.9,58.0,6.691410393811066,24.278632283210754,558649.0,8414556.482179211,6.639078377846011,0,64.639078377846
2016-09-30,13.233906269073486,482.3333333333333,6.382890217391305,1.3410073047054525,143.1376470244089,-3.0,60.0,-2.448443750976636,20.29951477050781,659286.0,8527628.825278029,7.731176080808197,0,67.7311760808082
2016-12-31,14.09793646373446,473.5692307692308,6.657657608695651,1.303507959236306,142.8884430330436,-3.1,62.0,-2.4324660289823274,22.114094762575064,668808.0,8963807.87358243,7.461204093531153,0,69.46120409353115
2017-03-31,11.691935508481915,457.6461538461538,6.980582222222222,1.2801729693748765,140.4707114606806,-2.8,63.0,-3.877546733280578,21.11139140205998,869129.0,9240877.73099836,9.405264578758816,0,72.40526457875882
2017-06-30,11.426349231175012,417.3125,7.421804395604395,1.2177208433131312,160.4570799144357,-2.6,64.0,10.061325285820413,18.846297564960665,948400.0,10558208.304643149,8.982584664321552,0,72.98258466432155
2017-09-30,10.94428569551498,411.484375,7.813482608695653,1.320715270327556,148.6493175185049,-2.7,65.0,2.2339630539917548,17.544792006886198,1063690.0,11116422.317869298,9.56863610957054,0,74.56863610957055
2017-12-31,10.307936501881432,360.234375,8.191021610665015,1.2694268513449831,149.36512580908854,-2.8,67.0,3.025326325440425,16.587239536028065,1100767.0,11725405.625723016,9.387879917647831,0,76.38787991764784
2018-03-31,17.354754135256908,390.9193548387097,8.676219262062322,1.371981215652985,145.80542416453298,-2.7,69.0,0.8828518601880065,17.223530607145335,1322120.0,12457790.347179033,10.612796998140071,0,79.61279699814007
2018-06-30,15.337500035762789,470.0615384615385,9.302908496839937,1.4581789033867611,154.07233319843832,-2.4,75.0,6.948672966802703,19.43788433074951,1086880.0,14431394.012697564,7.531358363881554,0,82.53135836388155
2018-09-30,12.856825404696997,638.5538461538462,10.093009374361849,1.7310432841395202,143.49201806093063,-2.0,82.0,-0.0661042640291983,19.704340811759707,773389.0,15276275.653390344,5.062680312582326,0,87.06268031258233
2018-12-31,21.05365064409044,692.1384615384616,11.50206258799516,1.755457677842122,139.89576642631974,-2.4,86.0,-2.25356461306416,20.61516069798241,726625.0,16813782.695796337,4.321603372343248,0,90.32160337234325
2019-03-31,16.4699999387147,709.6031746031746,12.880597202281688,1.6972825521001902,137.25579447506038,-0.8,83.0,-3.802344177948257,16.89137603611242,941033.0,17484108.85697476,5.382218834816984,0,88.38221883481698
2019-06-30,15.183015777951194,883.109375,14.331729329517175,1.7049304082951673,154.97029740685798,-0.6,83.0,8.918246977140086,14.275009713475669,1120212.0,21233558.154751204,5.275667845378719,0,88.27566784537872
2019-09-30,15.960156202316284,1493.8333333333333,15.728973232361644,1.772075513690704,140.97701026694892,-0.5,85.0,-0.6736456578382389,10.830158472061155,1293035.0,22303884.00877951,5.797353499018469,0,90.79735349901847
2019-12-31,13.985781237483025,2158.276923076923,17.602799998121764,1.8303036520260343,138.3921069379933,-0.9,89.0,-2.3038620148783195,10.468868374824524,1178592.0,25212225.576296933,4.674684495556964,0,93.67468449555696
2020-03-31,31.22451622255387,2460.5873015873017,19.702912307781727,1.7046698344753188,130.3585951921423,-1.2,88.0,-7.852551075006664,11.603681591249284,1276969.0,24999988.082612827,5.107878434902598,0,93.1078784349026
2020-06-30,34.49365086025662,3103.0,21.220009841485084,1.635992519909257,125.61552296987936,-3.8,96.0,-11.153470144716811,15.67355123966459,2373538.0,24025361.939099044,9.879301739622443,0,105.87930173962245
2020-09-30,25.80890628695488,1996.8333333333333,22.46180423005276,1.7163112385945185,126.60755310766432,-2.5,97.0,-10.472524121216669,8.3580904006958,2506569.0,27536379.505392466,9.10275441079368,0,106.10275441079368
2020-12-31,25.62171870470047,1391.8,24.277442113350777,1.7378229054468883,132.4228409140435,-2.9,97.0,-6.458047663999725,6.780135869979858,2789470.0,32277527.046046093,8.642142863115353,0,105.64214286311535
2021-03-31,23.202458960111024,1492.190476190476,26.95686969441388,1.7537403255909882,134.57256815644328,-1.8,85.0,-5.109114240061133,7.050484057332653,3281479.0,36785109.79372019,8.920672028441794,0,93.9206720284418
2021-06-30,17.999999969724623,1547.515625,30.37583744564568,1.6902525863260462,149.14326115530662,-1.2,83.0,4.9112461359389545,6.621601239083304,3664463.0,46340281.47592877,7.907727107578073,0,90.90772710757807
2021-09-30,18.28906251490116,1568.1060606060605,33.730485855288805,1.6169416858715695,141.56564762613974,-0.8,81.0,-0.7078142355975403,5.009488463401794,4148115.0,47462528.98909956,8.739768167331903,0,89.7397681673319
2021-12-31,19.274375021457672,1711.8030303030305,36.90696913870465,1.4992487217740846,143.4988382122337,-1.1,80.0,0.3185888533353476,6.649200677871704,4699998.0,54288413.782466695,8.657460538141454,0,88.65746053814145
