Date,deuda_pib,pb_pib,PIB_real,TCRM,EMBI,VIX,CER,es_interpolado,g_gap
2004-12-31,102.0,1.3,99.88218915106556,2.361003487901665,5172.653181818182,13.651250019669533,1.5311021739130437,0,-3.79892729300454
2005-03-31,78.0,1.2,101.7495505099361,2.3443029352696843,5042.181746031746,12.787049199714035,1.5584288888888886,0,-3.605073915585998
2005-06-30,72.0,1.5,119.90311901736838,2.3112122994687647,5009.506153846154,13.407343715429306,1.6107208791208791,0,11.697999852156059
2005-09-30,69.0,1.4,106.0980555940946,2.312854553002313,414.18666666666667,12.250781282782556,1.6487869565217392,0,-2.821467171486016
2005-12-31,65.0,1.6,107.655914556259,2.367604631105472,423.45454545454544,12.781746031746032,1.691214130434783,0,-3.047643077678255
2006-03-31,63.0,1.5,109.7364537902141,2.410134996583217,396.88153846153847,12.042419341302686,1.7465,0,-2.8154603346270655
2006-06-30,61.0,1.7,126.58362357570458,2.3986704130240653,353.81125000000003,14.52873011997768,1.794578021978022,0,10.275893567438796
2006-09-30,59.0,1.6,116.05057338750493,2.3977141376933084,339.264,13.607936465550983,1.829513043478261,0,-0.5043075032444371
2006-12-31,57.0,1.8,118.07382087608066,2.3630845504134874,282.686,11.034920647030784,1.8684630434782608,0,-0.32262815134424616
2007-03-31,56.0,1.4,118.90925936757442,2.358784382847069,210.224375,12.56360655925313,1.9175533333333328,0,-1.096689194158151
2007-06-30,55.0,1.2,139.0639933922362,2.3397686446228136,268.47640625,13.73190472617982,1.9580032967032968,0,14.041108115525452
2007-09-30,53.0,1.1,125.8310809570102,2.2764715954183736,414.1538461538461,21.589206256563703,1.989080434782609,0,1.8169446608282065
2007-12-31,52.0,1.0,129.0161334974014,2.295504088224543,387.7846153846154,22.02984371781349,2.027544565217392,0,3.083994762995896
2008-03-31,52.0,0.8,127.1286414358048,2.301409161657998,481.671875,26.12016408951556,2.078652747252747,0,0.37534871713735046
2008-06-30,51.0,0.6,146.6467155605454,2.2072385433010058,556.723076923077,20.67296865582466,2.1299428571428574,0,14.4980577947437
2008-09-30,50.0,0.4,133.3885159930425,2.0610542551570306,695.2727272727273,25.073281168937683,2.1709815217391304,0,3.0567495769940916
2008-12-31,49.0,0.2,126.4629159764191,1.8536742765887997,1696.5555555555557,58.59593743085861,2.2013891304347823,0,-3.263488541962528
2009-03-31,51.0,-0.5,119.26096109941808,1.9186525640879084,1696.857142857143,45.00000006253602,2.227928888888889,0,-9.640686455072856
2009-06-30,52.0,-0.6,130.11296246690188,2.0611830409138747,1454.265625,33.01571428208124,2.2599615384615386,0,-2.327354575848704
2009-09-30,51.0,-0.4,125.85049090289608,2.176891976556062,923.7121212121212,25.486250042915344,2.289744565217392,0,-6.3742774281521735
2009-12-31,50.0,-0.3,126.81953915618163,2.1589797718810666,716.6,23.070156276226044,2.3405239130434783,0,-6.478569901386226
2010-03-31,49.0,0.2,126.07466074724418,1.9790048619370249,734.3709677419355,20.149672086121605,2.403571111111111,0,-7.819621798317865
2010-06-30,47.0,0.3,151.24877167717037,1.8658731796247991,734.859375,26.39142858414423,2.48192967032967,0,9.675751444112057
2010-09-30,46.0,0.1,137.81603134583528,1.8512494762301148,712.5757575757576,24.28359362483025,2.541544565217392,0,-0.8504925419411916
2010-12-31,44.0,0.0,137.73843910112078,1.8301367032357423,545.1212121212121,19.31843753159046,2.6002804347826087,0,-1.6449758223855175
2011-03-31,43.0,0.1,136.52954855206585,1.8185058372961973,531.296875,18.61483860015869,2.661471111111112,0,-3.1914629349456707
2011-06-30,42.0,-0.2,157.96927454429692,1.8270565426967944,574.3125,17.48238103351896,2.724652747252747,0,11.280979074291992
2011-09-30,41.0,-0.3,146.64916682881935,1.7614619290333369,730.4848484848485,30.583593621850014,2.7877695652173915,0,2.69134656004758
2011-12-31,40.0,-0.5,144.92443513523605,1.6258533028906264,909.9076923076924,29.939523818000914,2.8536380434782616,0,0.9356793095407848
2012-03-31,42.0,-0.7,138.66520782643724,1.612000239325684,833.9384615384615,18.204032267293623,2.917010989010989,0,-3.8932681196677046
2012-06-30,43.0,-0.8,150.65252125980354,1.4919785196651203,1065.359375,20.035714210025848,2.9916329670329667,0,3.960827569133189
2012-09-30,43.0,-1.0,145.0091977083871,1.4548591782014968,1020.5692307692308,16.192698403010294,3.063858695652174,0,-0.3172187513119866
2012-12-31,44.0,-1.2,145.72993096652286,1.4632992155916589,1039.4923076923078,16.75290323072864,3.143127173913044,0,-0.15669203782255303
2013-03-31,44.0,-1.4,139.5721131524547,1.4865891895755103,1124.016129032258,13.527000029881796,3.2339211111111106,0,-4.650115821313739
2013-06-30,45.0,-1.6,160.06231313144914,1.4571787714394568,1199.3538461538462,14.837031200528145,3.307831868131868,0,9.083687917025205
2013-09-30,45.0,-1.5,148.7190983389643,1.411423855081577,1093.439393939394,14.27968756854534,3.385197826086956,0,1.155537867601431
2013-12-31,46.0,-1.8,145.65557871712397,1.445402850196392,851.9692307692308,14.232812464237211,3.473929347826086,0,-1.0795721025752814
2014-03-31,47.0,-2.0,138.3312774504257,1.614036023523335,926.6666666666666,14.828852528431376,3.63618888888889,0,-6.162390898458717
2014-06-30,48.0,-2.2,156.7827344646443,1.5886220806838998,783.65625,12.738253971887014,3.945863736263736,0,6.2662656091426365
2014-09-30,48.0,-2.1,142.41561696656734,1.518324261860987,710.3030303030303,13.07437500357628,4.131184782608695,0,-3.5201705013544804
2014-12-31,49.0,-2.4,141.55431068833474,1.3870568124100753,728.6307692307693,16.063750088214874,4.299857608695652,0,-4.124838662796929
2015-03-31,51.0,-2.6,138.67836300315082,1.273852960406217,668.5238095238095,16.56475407959985,4.446702222222223,0,-6.068956871410633
2015-06-30,52.0,-2.8,163.10269671209025,1.2221448734407152,597.6461538461539,13.740158762250628,4.596259340659341,0,10.50822430111779
2015-09-30,53.0,-3.0,148.06406242217545,1.1452149753593002,585.2575757575758,19.30734378099441,4.749839130434782,0,0.3807804084167868
2015-12-31,54.0,-3.2,145.05452542456325,1.1396293304240592,506.9846153846154,17.033281311392784,4.924831521739131,0,-1.5706772812922865
2016-03-31,56.0,-3.1,139.68890189627257,1.4518897388370136,468.6984126984127,20.48622949006128,5.267854945054945,0,-5.1009731900639395
2016-06-30,58.0,-2.9,156.808792564844,1.3378750451837342,501.4769230769231,15.67593750357628,5.811623076923077,0,6.680498409509641
2016-09-30,60.0,-3.0,143.1376470244089,1.3410073047054525,482.3333333333333,13.233906269073486,6.382890217391305,0,-2.4563215602390187
2016-12-31,62.0,-3.1,142.8884430330436,1.303507959236306,473.5692307692308,14.09793646373446,6.657657608695651,0,-2.438488193509421
2017-03-31,63.0,-2.8,140.4707114606806,1.2801729693748765,457.6461538461538,11.691935508481915,6.980582222222222,0,-3.881881533059517
2017-06-30,64.0,-2.6,160.4570799144357,1.2177208433131312,417.3125,11.426349231175012,7.421804395604395,0,10.057939946622874
2017-09-30,65.0,-2.7,148.6493175185049,1.320715270327556,411.484375,10.94428569551498,7.813482608695653,0,2.232065021382272
2017-12-31,67.0,-2.8,149.36512580908854,1.2694268513449831,360.234375,10.307936501881432,8.191021610665015,0,3.024465611878492
2018-03-31,69.0,-2.7,145.80542416453298,1.371981215652985,390.9193548387097,17.354754135256908,8.676219262062322,0,0.8828566121225265
2018-06-30,75.0,-2.4,154.07233319843832,1.4581789033867611,470.0615384615385,15.337500035762789,9.302908496839937,0,6.949401765421818
2018-09-30,82.0,-2.0,143.49201806093063,1.7310432841395202,638.5538461538462,12.856825404696997,10.093009374361849,0,-0.06489284688519167
2018-12-31,86.0,-2.4,139.89576642631974,1.755457677842122,692.1384615384616,21.05365064409044,11.50206258799516,0,-2.2519870049469026
2019-03-31,83.0,-0.8,137.25579447506038,1.6972825521001902,709.6031746031746,16.4699999387147,12.880597202281688,0,-3.8005135562341343
2019-06-30,83.0,-0.6,154.97029740685798,1.7049304082951673,883.109375,15.183015777951194,14.331729329517175,0,8.920528427091316
2019-09-30,85.0,-0.5,140.97701026694892,1.772075513690704,1493.8333333333333,15.960156202316284,15.728973232361644,0,-0.6714569944998097
2019-12-31,89.0,-0.9,138.3921069379933,1.8303036520260343,2158.276923076923,13.985781237483025,17.602799998121764,0,-2.3016707444738596
2020-03-31,88.0,-1.2,130.3585951921423,1.7046698344753188,2460.5873015873017,31.22451622255387,19.702912307781727,0,-7.850500568707357
2020-06-30,96.0,-3.8,125.61552296987936,1.635992519909257,3103.0,34.49365086025662,21.220009841485084,0,-11.15154962916119
2020-09-30,97.0,-2.5,126.60755310766432,1.7163112385945185,1996.8333333333333,25.80890628695488,22.46180423005276,0,-10.470677868684367
2020-12-31,97.0,-2.9,132.4228409140435,1.7378229054468883,1391.8,25.62171870470047,24.277442113350777,0,-6.456236469663833
2021-03-31,85.0,-1.8,134.57256815644328,1.7537403255909882,1492.190476190476,23.202458960111024,26.95686969441388,0,-5.107414014740548
2021-06-30,83.0,-1.2,149.14326115530662,1.6902525863260462,1547.515625,17.999999969724623,30.37583744564568,0,4.912962250941932
2021-09-30,81.0,-0.8,141.56564762613974,1.6169416858715695,1568.1060606060605,18.28906251490116,33.730485855288805,0,-0.7063505843110133
